timestamp,ADAUSDT_H,ATOMUSDT_H,BNBUSDT_H,BTCUSDT_H,ETHUSDT_H,LTCUSDT_H,MATICUSDT_H,SOLUSDT_H,XRPUSDT_H
2021-01-01 00:00:00,0.1808,6.415,37.425,29015.0,734.6,124.04,0.01784,1.538,0.2217
2021-01-01 01:00:00,0.18389,6.33,37.682,29448.4,749.33,131.93,0.01809,1.5695,0.2241
2021-01-01 02:00:00,0.184,6.386,38.04,29237.06,745.15,133.57,0.018,1.5821,0.2239
2021-01-01 03:00:00,0.18326,6.199,37.995,29302.11,745.88,131.95,0.01817,1.5934,0.2274
2021-01-01 04:00:00,0.18201,6.101,37.946,29237.07,743.4,131.12,0.01811,1.5937,0.2393
2021-01-01 05:00:00,0.18324,6.077,37.77,29213.8,741.61,131.14,0.01804,1.5947,0.2387
2021-01-01 06:00:00,0.18112,5.982,37.666,29197.3,740.76,130.36,0.01795,1.6174,0.2348
2021-01-01 07:00:00,0.17963,6.032,37.694,29107.71,738.18,129.62,0.01788,1.6147,0.2299
2021-01-01 08:00:00,0.1778,5.912,37.485,29025.89,731.01,126.2,0.01778,1.5973,0.2288
2021-01-01 09:00:00,0.17911,6.009,38.024,29229.6,734.38,127.47,0.01787,1.5745,0.2326
2021-01-01 10:00:00,0.1804,5.986,38.891,29259.29,737.69,127.63,0.01813,1.6229,0.2371
2021-01-01 11:00:00,0.17977,6.019,38.475,29341.99,739.88,127.87,0.01827,1.6244,0.2373
2021-01-01 12:00:00,0.18035,5.936,38.403,29257.82,734.03,126.77,0.01811,1.597,0.2328
2021-01-01 13:00:00,0.18139,6.014,38.405,29493.66,741.06,128.06,0.01829,1.5984,0.2343
2021-01-01 14:00:00,0.18315,6.003,38.158,29354.58,738.81,127.35,0.01864,1.6379,0.237
2021-01-01 15:00:00,0.18075,5.928,38.17,29210.84,736.06,126.45,0.01853,1.6374,0.2429
2021-01-01 16:00:00,0.18017,5.868,38.24,29324.21,736.59,127.21,0.01837,1.6453,0.2466
2021-01-01 17:00:00,0.1782,5.787,37.872,29099.0,729.02,125.45,0.01795,1.6673,0.2369
2021-01-01 18:00:00,0.1748,5.782,37.632,29086.62,725.14,125.5,0.01758,1.7519,0.2348
2021-01-01 19:00:00,0.17438,5.815,37.41,29048.47,725.68,125.37,0.01765,1.7235,0.2338
2021-01-01 20:00:00,0.17518,5.832,37.458,29214.14,730.01,126.21,0.01766,1.7676,0.2371
2021-01-01 21:00:00,0.17536,5.821,37.275,29177.77,728.89,125.44,0.01763,1.7583,0.2379
2021-01-01 22:00:00,0.17556,5.915,37.6,29270.89,729.53,126.08,0.01771,1.7999,0.2379
2021-01-01 23:00:00,0.17517,5.873,37.795,29337.16,729.77,126.31,0.0178,1.8382,0.2377
2021-01-02 00:00:00,0.17181,5.63,36.994,29215.89,720.8,124.36,0.01755,1.7733,0.2326
2021-01-02 01:00:00,0.17372,5.708,37.279,29380.0,730.2,125.42,0.01788,1.8446,0.2367
2021-01-02 02:00:00,0.17444,5.705,37.24,29347.02,730.69,124.44,0.01805,1.8128,0.2339
2021-01-02 03:00:00,0.17519,5.75,37.591,29364.67,731.42,125.25,0.01843,1.8603,0.2347
2021-01-02 04:00:00,0.17453,5.693,37.465,29363.03,730.21,125.1,0.01851,1.8315,0.235
2021-01-02 05:00:00,0.1752,5.712,37.707,29628.65,732.84,126.04,0.01861,1.7906,0.2358
2021-01-02 06:00:00,0.17397,5.631,37.529,29733.03,737.88,126.91,0.01864,1.7652,0.2339
2021-01-02 07:00:00,0.17263,5.609,37.389,29777.33,735.82,125.5,0.01847,1.7501,0.2338
2021-01-02 08:00:00,0.17177,5.529,37.188,29870.0,734.51,125.35,0.0183,1.7599,0.2278
2021-01-02 09:00:00,0.17086,5.487,37.059,29642.1,726.31,124.27,0.01822,1.7226,0.2227
2021-01-02 10:00:00,0.17127,5.489,37.229,29708.25,729.42,125.08,0.01836,1.743,0.2258
2021-01-02 11:00:00,0.17227,5.474,37.345,29775.52,730.5,125.44,0.01856,1.7629,0.2276
2021-01-02 12:00:00,0.17989,5.498,37.93,30660.12,753.78,130.55,0.01865,1.8031,0.232
2021-01-02 13:00:00,0.17991,5.588,38.184,31616.51,772.35,131.09,0.01846,1.789,0.231
2021-01-02 14:00:00,0.17916,5.539,38.045,31335.01,762.02,129.88,0.01834,1.775,0.2285
2021-01-02 15:00:00,0.17911,5.62,38.189,31717.01,769.57,131.36,0.01827,1.7767,0.2292
